"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creating a new account with valid data","10565","Verify that a new account can be created with valid data","Meeting with friends CrossBrowserTest","Mon Apr 13 16:08:30 UTC 2026","broken","Mon Apr 13 16:08:40 UTC 2026","tests.ui.RegistrationTest","FireFox","tests.ui.RegistrationTest","checkCreateNewAccount"
"Negative login check","491","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Apr 13 16:06:40 UTC 2026","broken","Mon Apr 13 16:06:41 UTC 2026","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkInvalidLogin"
"","135166","shouldReturnConflictWhenCreatingUserWithExistingEmail","Meeting with friends CrossBrowserTest","Mon Apr 13 16:19:12 UTC 2026","broken","Mon Apr 13 16:21:27 UTC 2026","tests.api.CreateUserTest","Chrome","tests.api.CreateUserTest","shouldReturnConflictWhenCreatingUserWithExistingEmail"
"Negative login check","484","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Apr 13 16:06:19 UTC 2026","broken","Mon Apr 13 16:06:20 UTC 2026","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","490","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Apr 13 16:06:19 UTC 2026","broken","Mon Apr 13 16:06:19 UTC 2026","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","674","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Apr 13 16:06:11 UTC 2026","broken","Mon Apr 13 16:06:11 UTC 2026","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkInvalidLogin"
"","0","shouldFetchUserByIdSuccessfully","Meeting with friends CrossBrowserTest","Mon Apr 13 16:23:47 UTC 2026","skipped","Mon Apr 13 16:23:47 UTC 2026","tests.api.TokenBasedAuthTest","Edge","tests.api.TokenBasedAuthTest","shouldFetchUserByIdSuccessfully"
"","0","shouldFetchUserByIdSuccessfully","Meeting with friends CrossBrowserTest","Mon Apr 13 16:24:27 UTC 2026","skipped","Mon Apr 13 16:24:27 UTC 2026","tests.api.TokenBasedAuthTest","FireFox","tests.api.TokenBasedAuthTest","shouldFetchUserByIdSuccessfully"
"Negative login check","784","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Apr 13 16:06:13 UTC 2026","broken","Mon Apr 13 16:06:14 UTC 2026","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"","135166","shouldReturnConflictWhenCreatingUserWithExistingEmail","Meeting with friends CrossBrowserTest","Mon Apr 13 16:19:16 UTC 2026","broken","Mon Apr 13 16:21:31 UTC 2026","tests.api.CreateUserTest","Edge","tests.api.CreateUserTest","shouldReturnConflictWhenCreatingUserWithExistingEmail"
"Creating a new account with valid data","10609","Verify that a new account can be created with valid data","Meeting with friends CrossBrowserTest","Mon Apr 13 16:07:44 UTC 2026","broken","Mon Apr 13 16:07:54 UTC 2026","tests.ui.RegistrationTest","Chrome","tests.ui.RegistrationTest","checkCreateNewAccount"
"","1","setUp","Meeting with friends CrossBrowserTest","Mon Apr 13 16:24:27 UTC 2026","broken","Mon Apr 13 16:24:27 UTC 2026","tests.api.TokenBasedAuthTest","FireFox","tests.api.TokenBasedAuthTest","setUp"
"Negative login check","520","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Apr 13 16:06:30 UTC 2026","broken","Mon Apr 13 16:06:30 UTC 2026","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkInvalidLogin"
"","1","setUp","Meeting with friends CrossBrowserTest","Mon Apr 13 16:23:42 UTC 2026","broken","Mon Apr 13 16:23:42 UTC 2026","tests.api.TokenBasedAuthTest","Chrome","tests.api.TokenBasedAuthTest","setUp"
"Check if user can login from home page","10901","Check if user can login from home page","Meeting with friends CrossBrowserTest","Mon Apr 13 16:06:44 UTC 2026","broken","Mon Apr 13 16:06:54 UTC 2026","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkValidLogin"
"Negative login check","589","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Apr 13 16:06:08 UTC 2026","broken","Mon Apr 13 16:06:09 UTC 2026","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"","135166","shouldCreateUserSuccessfully","Meeting with friends CrossBrowserTest","Mon Apr 13 16:12:31 UTC 2026","broken","Mon Apr 13 16:14:46 UTC 2026","tests.api.CreateUserTest","Edge","tests.api.CreateUserTest","shouldCreateUserSuccessfully"
"","3","setUp","Meeting with friends CrossBrowserTest","Mon Apr 13 16:23:47 UTC 2026","broken","Mon Apr 13 16:23:47 UTC 2026","tests.api.TokenBasedAuthTest","Edge","tests.api.TokenBasedAuthTest","setUp"
"","135166","shouldCreateUserSuccessfully","Meeting with friends CrossBrowserTest","Mon Apr 13 16:12:27 UTC 2026","broken","Mon Apr 13 16:14:42 UTC 2026","tests.api.CreateUserTest","Chrome","tests.api.CreateUserTest","shouldCreateUserSuccessfully"
"","1","shouldFetchUserByIdSuccessfully","Meeting with friends CrossBrowserTest","Mon Apr 13 16:23:42 UTC 2026","skipped","Mon Apr 13 16:23:42 UTC 2026","tests.api.TokenBasedAuthTest","Chrome","tests.api.TokenBasedAuthTest","shouldFetchUserByIdSuccessfully"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","10672","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Apr 13 16:07:10 UTC 2026","broken","Mon Apr 13 16:07:21 UTC 2026","tests.ui.EventMapTest","Chrome","tests.ui.EventMapTest","checkMapMarker"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","10672","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Apr 13 16:07:17 UTC 2026","broken","Mon Apr 13 16:07:28 UTC 2026","tests.ui.EventMapTest","Edge","tests.ui.EventMapTest","checkMapMarker"
"Negative login check","491","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Apr 13 16:06:16 UTC 2026","broken","Mon Apr 13 16:06:16 UTC 2026","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","10651","Verify that a new account can be created with valid data","Meeting with friends CrossBrowserTest","Mon Apr 13 16:07:51 UTC 2026","broken","Mon Apr 13 16:08:02 UTC 2026","tests.ui.RegistrationTest","Edge","tests.ui.RegistrationTest","checkCreateNewAccount"
"Check if user can login from home page","10593","Check if user can login from home page","Meeting with friends CrossBrowserTest","Mon Apr 13 16:07:11 UTC 2026","broken","Mon Apr 13 16:07:21 UTC 2026","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkValidLogin"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","10766","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Apr 13 16:07:50 UTC 2026","broken","Mon Apr 13 16:08:01 UTC 2026","tests.ui.EventMapTest","FireFox","tests.ui.EventMapTest","checkMapMarker"
"","135166","shouldReturnConflictWhenCreatingUserWithExistingEmail","Meeting with friends CrossBrowserTest","Mon Apr 13 16:19:57 UTC 2026","broken","Mon Apr 13 16:22:12 UTC 2026","tests.api.CreateUserTest","FireFox","tests.api.CreateUserTest","shouldReturnConflictWhenCreatingUserWithExistingEmail"
"","135166","shouldCreateUserSuccessfully","Meeting with friends CrossBrowserTest","Mon Apr 13 16:13:12 UTC 2026","broken","Mon Apr 13 16:15:27 UTC 2026","tests.api.CreateUserTest","FireFox","tests.api.CreateUserTest","shouldCreateUserSuccessfully"
"Check if user can login from home page","10816","Check if user can login from home page","Meeting with friends CrossBrowserTest","Mon Apr 13 16:06:37 UTC 2026","broken","Mon Apr 13 16:06:48 UTC 2026","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkValidLogin"
"Negative login check","436","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Apr 13 16:06:05 UTC 2026","broken","Mon Apr 13 16:06:05 UTC 2026","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
